uid,blink,artist,title
28,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=28&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=0dd321a29f715a4f9889cac7be180b50,Georges Braque,Violinspieler
29,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=29&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=43b842f5533859e3244a04ac116f0ee1,Georges Braque,Früchte auf einem Tuch
40,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=40&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=f25567c7d90b8e75971e2a4fe5c6b065,Marc Chagall,Hochzeit in Russland
58,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=58&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=b6a3f0512acde1b73bc5dc268590139c,André Derain,Interieur
60,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=60&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=484f7fd4f9b7daa0734332ed762b4c08,Raoul Dufy,Arkaden in Vallauris
114,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=114&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=9f28c22dc32fc13be9523bc5ea8e6aca,Juan Gris,Die Birne
115,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=115&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=b55c61e55837467464edd02bd698834d,Juan Gris,"Karaffe, Schale und Glas"
116,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=116&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=4abf658022e7df5257d9c2b8033ec221,Albert Marquet,Le Havre
411,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=411&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=c18b9ccf9eea35b9a30ef5f0ada9acad,Amedeo Modigliani,Dr. Louis Devraigne
117,https://www.buehrle.ch/sammlung/?tx_buehrlewerkliste_werkliste%5Bwerk%5D=117&tx_buehrlewerkliste_werkliste%5Bcontext%5D=t&tx_buehrlewerkliste_werkliste%5Baction%5D=show&cHash=b226c05f379fe728e5d827f29817acdd,Amedeo Modigliani,Liegender Akt
