id,x,y
341_Cuyp_Doordrecht,2.7063248,8.420993
342_Vlaminck_Nature_morte_table,-6.8453937,5.0973635
343_Vuillard_La_Veille,-6.3016095,6.148176
344_Dufy_Fete_foraine,-5.5736113,0.042628452
345_Fragonard_Alle,-2.6802068,14.049865
346_Boudin_Trouville_plage,-1.5229481,12.8436365
347_Cezanne_Jardinier,-1.8907076,-2.4638355
348_Gris_Arlequin,-6.2900314,4.448527
349_Renoir_Baigneuse,-1.5117778,2.9662035
350_Vuillard_Autoportrait,-0.8665967,-3.3793066
351_Koninck_Landschaft,-3.439288,13.948593
352_Degas_Groupe,-1.0705768,11.722345
353_Braunschweiger_Paradiesgaertlein,16.646439,6.4643593
354_Seurat_Casseur,-2.731133,6.1801333
355_Matisse_Fenetre,-5.9056373,2.0863132
356_Patinir_Taufe_Christi_Inv_156,1.6319224,9.431882
357_Tiepolo_Esther,3.3437283,11.117133
358_Chagall_Barque,-5.665364,6.785451
359_Delacroix_Tasso,2.594272,11.438888
360_Goyen_Flusslandschaft,0.309109,13.460928
361_Seurat_Promeneuse,-3.8564014,5.2100096
362_Bonnard_Arelier,-3.9707358,1.4317659
363_Chagall_Mariage,-1.5934778,9.1587
364_Fantin_Latour_Pivoines,-8.073741,0.3644248
365_Matisse_Paysage,-6.6860366,9.855798
366_Gros_Portrait,2.1608615,-1.3875921
367_Pissarro_Vue_sur_le_village,-12.432152,8.032121
368_Signac_Modistes,-5.010977,0.3486988
369_Braque_Saliere,-6.574678,6.064987
370_Klee_Flottille,-5.490009,9.39942
371_Klee_Wald_Affen_1939,-5.8734565,6.451418
372_Klee_Werbeblatt,-6.4268036,4.771838
373_Netscher_Zitronenverkaeuferin,3.2918398,11.5330715
374_Sisley_La_Baignade,-8.071778,14.212311
375_Constable_Hampstead,-5.069816,13.788948
376_Dufy_Terrasse,-11.633674,6.638567
377_Matisse_Odalisque,-3.2603972,3.0990558
378_Oesterreich_Kreuzigung,5.138344,8.776381
379_Matisse_Pont_Saint_Michel,-13.7197275,8.810692
380_Daumier_Femme,-0.8611485,7.7539577
381_Goya_Tote_Ente,-3.7259145,6.0780053
382_Hooch_Kartenspieler,3.496661,11.388548
383_Rembrandt_Jagdstillleben,1.8564352,6.9964395
384_Ruysdael_Flussufer,-11.218348,10.99994
385_Cezanner_Paysage_provencal,-6.604753,12.194529
386_Fragonard_Charlatans,2.6309433,11.85594
387_Fragonard_Marchands,3.4464743,10.999546
388_Toulouse_Lautrec_Deux_amies,-3.668374,0.5194535
389_Modigliani_Liegender_Akt_Kissen_1917,-3.740802,3.9946353
390_Gericault_Combat_de_cavaliers,1.9518967,9.989006
391_Modigliani_Brustbild,-2.2582185,2.4086363
392_Renoir_Faisan,2.7581007,7.4525876
393_Rouault_Pere,-6.0056114,4.8905115
394_Vlaminck_Paysage,-7.338252,10.240834
395_Lueneburg_Die_Flucht,17.02379,6.4123325
396_Degas_Petite_Danseuese_Bronze,19.888586,2.0026953
397_Cezanne_Jeune_baigneurs,-2.9634297,3.1943119
398_Cezanne_Paysage_de_Provence,-5.232826,12.890785
399_Guardi_Bucht,-3.8163111,16.337046
400_Robusti_Die_Kreuztragung,4.403761,8.669397
401_Toulouse_Lautrec_Au_cirque,-3.9442017,6.9005237
402_Pissarro_Payanne_laine,0.17367308,5.8396883
403_Renoir_Dahlias,-8.8592005,0.28632742
404_Vlaminck_Oranges,-6.017965,0.13737911
405_Brueghel_Bauerntanz,1.8202878,12.688484
406_Daumier_Spectacle,-0.8191314,-1.253967
407_Munch_Badende,-6.4776473,7.052124
408_Munch_Maedchen,-3.6609683,9.676353
409_Bonnard_Paysage,-7.301602,11.47619
410_Signac_Portrait,-5.9663987,6.2686152
411_Picasso_Enfant_et_femme,-2.4162736,4.985103
412_Vuillard_Le_Salon_vert,-4.292254,1.1048896
413_Marc_Aeffchen,-6.2200146,7.091699
414_Niederlande_Kalvarienberg,5.1063294,8.585286
415_Guys_Chiens,-3.1990154,8.6110325
416_Guardi_Marionettentheater,-1.745367,13.694697
417_Delacroix_Amphitrite,3.3371398,8.506375
418_Delacroix_Bacchus,3.1672401,8.853327
419_Renoir_Composition,-2.50132,4.7055235
420_Picasso_Italienne,-6.2022843,3.474815
421_Savery_Tiere,-0.18687911,9.136032
422_Guardi_Canal_Grande,-3.2833037,16.126219
423_Guardi_Rialtobruecke_Tusche,-3.3115993,15.94437
424_Matisse_Stillleben,-5.825383,0.35807335
425_Fantin_Latour_Autoportrait,1.3763254,-1.8513796
426_Braque_Homme_au_violon,-6.509264,4.02597
427_Vuillard_Numero_Zauberer,-4.8009734,0.9474296
428_Soutine_Portrait,-1.5580904,-0.7939046
429_Toulouse_Lautrec_Femme_rousse,-0.49458763,0.8403123
430_Segonzac_La_Route,-8.122477,13.069878
431_Manet_La_Viennoise,0.058370523,0.6231822
